id,first_name,last_name,gender
982,Denise,Lawrence,Female
983,Marilyn,Moore,Female
984,Carol,Welch,Female
985,Ernest,Brown,Male
986,Irene,Watkins,Female
987,Kelly,Gomez,Female
988,Diana,Richards,Female
989,Bobby,Wood,Male
990,Jack,Wheeler,Male
991,Bruce,Burke,Male
992,Katherine,Reyes,Female
993,Frank,Sanders,Male
994,Heather,Howard,Female
995,Lori,Johnston,Female
996,Susan,Henderson,Female
997,Ashley,Little,Female
998,Steven,Tucker,Male
999,Elizabeth,Jenkins,Female
1000,Denise,Stanley,Female
